timestamp_s,ax,ay,az,gx,gy,gz
1.575,0.002,-0.002,-1.022,-1.053,2.855,0.481
1.589,-0.001,-0.004,-1.022,-0.992,2.656,0.176
1.605,-0.0,-0.001,-1.024,-1.099,2.588,0.336
1.620,-0.0,-0.005,-1.018,-0.824,2.687,0.603
1.634,0.004,-0.005,-1.026,-1.0,2.725,0.71
1.650,0.001,-0.009,-1.028,-0.893,2.664,0.603
1.665,0.0,-0.007,-1.023,-0.947,2.641,0.412
1.679,-0.001,-0.008,-1.026,-0.87,2.405,0.557
1.695,0.001,-0.001,-1.02,-0.733,2.763,0.702
1.710,0.001,-0.001,-1.027,-0.901,2.863,0.443
1.724,0.001,0.001,-1.025,-0.954,2.702,0.779
1.740,0.0,-0.009,-1.024,-1.046,2.863,0.344
1.755,0.0,-0.011,-1.015,-0.947,2.71,0.748
1.769,0.002,-0.004,-1.021,-0.87,2.855,0.534
1.785,-0.001,-0.004,-1.023,-1.183,2.817,0.366
1.800,-0.002,0.001,-1.021,-1.015,2.924,0.672
1.814,-0.002,-0.002,-1.028,-0.885,2.817,0.527
1.830,0.005,-0.006,-1.025,-1.229,2.573,0.511
